n:144 mse_avg:630.50 mse_y:900.99 mse_u:83.89 mse_v:95.15 psnr_avg:20.13 psnr_y:18.58 psnr_u:28.89 psnr_v:28.35 
n:145 mse_avg:606.76 mse_y:865.94 mse_u:83.06 mse_v:93.72 psnr_avg:20.30 psnr_y:18.76 psnr_u:28.94 psnr_v:28.41 
n:146 mse_avg:602.82 mse_y:860.33 mse_u:82.41 mse_v:93.21 psnr_avg:20.33 psnr_y:18.78 psnr_u:28.97 psnr_v:28.44 
n:147 mse_avg:609.68 mse_y:869.90 mse_u:83.12 mse_v:95.40 psnr_avg:20.28 psnr_y:18.74 psnr_u:28.93 psnr_v:28.34 
n:148 mse_avg:610.38 mse_y:870.34 mse_u:85.37 mse_v:95.57 psnr_avg:20.27 psnr_y:18.73 psnr_u:28.82 psnr_v:28.33 
n:149 mse_avg:599.44 mse_y:855.51 mse_u:83.26 mse_v:91.35 psnr_avg:20.35 psnr_y:18.81 psnr_u:28.93 psnr_v:28.52 
n:150 mse_avg:600.54 mse_y:857.18 mse_u:81.69 mse_v:92.83 psnr_avg:20.35 psnr_y:18.80 psnr_u:29.01 psnr_v:28.45 
n:151 mse_avg:609.47 mse_y:869.79 mse_u:82.06 mse_v:95.57 psnr_avg:20.28 psnr_y:18.74 psnr_u:28.99 psnr_v:28.33 
n:152 mse_avg:608.19 mse_y:868.08 mse_u:82.79 mse_v:94.02 psnr_avg:20.29 psnr_y:18.75 psnr_u:28.95 psnr_v:28.40 
n:153 mse_avg:592.35 mse_y:845.11 mse_u:81.61 mse_v:92.05 psnr_avg:20.41 psnr_y:18.86 psnr_u:29.01 psnr_v:28.49 
n:154 mse_avg:595.88 mse_y:850.33 mse_u:82.06 mse_v:91.91 psnr_avg:20.38 psnr_y:18.83 psnr_u:28.99 psnr_v:28.50 
n:155 mse_avg:608.92 mse_y:868.58 mse_u:84.63 mse_v:94.57 psnr_avg:20.29 psnr_y:18.74 psnr_u:28.86 psnr_v:28.37 
n:156 mse_avg:603.91 mse_y:861.24 mse_u:84.03 mse_v:94.47 psnr_avg:20.32 psnr_y:18.78 psnr_u:28.89 psnr_v:28.38 
n:157 mse_avg:583.23 mse_y:831.28 mse_u:81.66 mse_v:92.57 psnr_avg:20.47 psnr_y:18.93 psnr_u:29.01 psnr_v:28.47 
n:158 mse_avg:587.85 mse_y:838.68 mse_u:80.09 mse_v:92.27 psnr_avg:20.44 psnr_y:18.89 psnr_u:29.10 psnr_v:28.48 
n:159 mse_avg:591.71 mse_y:844.39 mse_u:79.47 mse_v:93.24 psnr_avg:20.41 psnr_y:18.87 psnr_u:29.13 psnr_v:28.43 
n:160 mse_avg:589.41 mse_y:840.87 mse_u:79.76 mse_v:93.21 psnr_avg:20.43 psnr_y:18.88 psnr_u:29.11 psnr_v:28.44 
n:161 mse_avg:578.50 mse_y:824.57 mse_u:79.87 mse_v:92.85 psnr_avg:20.51 psnr_y:18.97 psnr_u:29.11 psnr_v:28.45 
n:162 mse_avg:579.02 mse_y:825.41 mse_u:79.90 mse_v:92.57 psnr_avg:20.50 psnr_y:18.96 psnr_u:29.11 psnr_v:28.47 
n:163 mse_avg:590.49 mse_y:841.41 mse_u:81.44 mse_v:95.86 psnr_avg:20.42 psnr_y:18.88 psnr_u:29.02 psnr_v:28.31 
