n:135 mse_avg:4.48 mse_y:5.63 mse_u:2.39 mse_v:1.96 psnr_avg:41.62 psnr_y:40.63 psnr_u:44.35 psnr_v:45.21 
n:136 mse_avg:4.51 mse_y:5.68 mse_u:2.36 mse_v:1.97 psnr_avg:41.59 psnr_y:40.58 psnr_u:44.40 psnr_v:45.19 
n:137 mse_avg:4.51 mse_y:5.68 mse_u:2.35 mse_v:2.00 psnr_avg:41.59 psnr_y:40.59 psnr_u:44.43 psnr_v:45.11 
n:138 mse_avg:4.75 mse_y:6.03 mse_u:2.40 mse_v:2.03 psnr_avg:41.36 psnr_y:40.33 psnr_u:44.34 psnr_v:45.06 
n:139 mse_avg:4.90 mse_y:6.23 mse_u:2.46 mse_v:2.04 psnr_avg:41.23 psnr_y:40.19 psnr_u:44.23 psnr_v:45.04 
n:140 mse_avg:4.86 mse_y:6.14 mse_u:2.50 mse_v:2.08 psnr_avg:41.26 psnr_y:40.25 psnr_u:44.15 psnr_v:44.95 
n:141 mse_avg:4.73 mse_y:5.98 mse_u:2.46 mse_v:2.04 psnr_avg:41.38 psnr_y:40.37 psnr_u:44.22 psnr_v:45.04 
n:142 mse_avg:4.66 mse_y:5.88 mse_u:2.45 mse_v:2.00 psnr_avg:41.44 psnr_y:40.44 psnr_u:44.24 psnr_v:45.12 
n:143 mse_avg:4.67 mse_y:5.89 mse_u:2.46 mse_v:1.98 psnr_avg:41.44 psnr_y:40.43 psnr_u:44.22 psnr_v:45.16 
n:144 mse_avg:4.69 mse_y:5.91 mse_u:2.47 mse_v:2.01 psnr_avg:41.42 psnr_y:40.42 psnr_u:44.20 psnr_v:45.10 
n:145 mse_avg:4.68 mse_y:5.89 mse_u:2.49 mse_v:2.00 psnr_avg:41.43 psnr_y:40.43 psnr_u:44.17 psnr_v:45.11 
n:146 mse_avg:4.56 mse_y:5.72 mse_u:2.52 mse_v:2.01 psnr_avg:41.54 psnr_y:40.56 psnr_u:44.12 psnr_v:45.11 
n:147 mse_avg:4.59 mse_y:5.78 mse_u:2.46 mse_v:1.99 psnr_avg:41.51 psnr_y:40.51 psnr_u:44.22 psnr_v:45.14 
n:148 mse_avg:4.58 mse_y:5.77 mse_u:2.44 mse_v:1.97 psnr_avg:41.52 psnr_y:40.52 psnr_u:44.25 psnr_v:45.19 
n:149 mse_avg:4.58 mse_y:5.76 mse_u:2.44 mse_v:1.97 psnr_avg:41.53 psnr_y:40.53 psnr_u:44.26 psnr_v:45.19 
n:150 mse_avg:4.63 mse_y:5.84 mse_u:2.41 mse_v:2.00 psnr_avg:41.48 psnr_y:40.47 psnr_u:44.31 psnr_v:45.11 
n:151 mse_avg:4.63 mse_y:5.83 mse_u:2.44 mse_v:2.00 psnr_avg:41.48 psnr_y:40.47 psnr_u:44.26 psnr_v:45.11 
n:152 mse_avg:4.63 mse_y:5.83 mse_u:2.42 mse_v:2.04 psnr_avg:41.47 psnr_y:40.47 psnr_u:44.29 psnr_v:45.04 
n:153 mse_avg:4.57 mse_y:5.77 mse_u:2.38 mse_v:1.98 psnr_avg:41.53 psnr_y:40.52 psnr_u:44.37 psnr_v:45.16 
n:154 mse_avg:4.56 mse_y:5.74 mse_u:2.40 mse_v:1.98 psnr_avg:41.54 psnr_y:40.54 psnr_u:44.33 psnr_v:45.16 
n:155 mse_avg:4.60 mse_y:5.80 mse_u:2.42 mse_v:2.01 psnr_avg:41.50 psnr_y:40.50 psnr_u:44.29 psnr_v:45.10 
n:156 mse_avg:4.64 mse_y:5.84 mse_u:2.44 mse_v:2.04 psnr_avg:41.46 psnr_y:40.47 psnr_u:44.25 psnr_v:45.04 
n:157 mse_avg:4.66 mse_y:5.87 mse_u:2.44 mse_v:2.04 psnr_avg:41.45 psnr_y:40.44 psnr_u:44.26 psnr_v:45.03 
n:158 mse_avg:4.69 mse_y:5.93 mse_u:2.39 mse_v:2.04 psnr_avg:41.42 psnr_y:40.40 psnr_u:44.35 psnr_v:45.04 
n:159 mse_avg:4.63 mse_y:5.86 mse_u:2.34 mse_v:2.00 psnr_avg:41.47 psnr_y:40.45 psnr_u:44.44 psnr_v:45.11 
n:160 mse_avg:4.61 mse_y:5.82 mse_u:2.34 mse_v:2.04 psnr_avg:41.49 psnr_y:40.48 psnr_u:44.43 psnr_v:45.03 
n:161 mse_avg:4.60 mse_y:5.81 mse_u:2.37 mse_v:2.03 psnr_avg:41.50 psnr_y:40.49 psnr_u:44.38 psnr_v:45.06 
n:162 mse_avg:4.60 mse_y:5.81 mse_u:2.31 mse_v:2.03 psnr_avg:41.51 psnr_y:40.49 psnr_u:44.50 psnr_v:45.05 
n:163 mse_avg:4.56 mse_y:5.77 mse_u:2.30 mse_v:1.98 psnr_avg:41.54 psnr_y:40.52 psnr_u:44.51 psnr_v:45.17 
n:164 mse_avg:4.54 mse_y:5.75 mse_u:2.30 mse_v:1.98 psnr_avg:41.56 psnr_y:40.54 psnr_u:44.51 psnr_v:45.16 
n:165 mse_avg:4.68 mse_y:5.95 mse_u:2.31 mse_v:1.97 psnr_avg:41.43 psnr_y:40.38 psnr_u:44.49 psnr_v:45.18 
n:166 mse_avg:4.67 mse_y:5.93 mse_u:2.32 mse_v:1.98 psnr_avg:41.44 psnr_y:40.40 psnr_u:44.47 psnr_v:45.17 
n:167 mse_avg:4.63 mse_y:5.87 mse_u:2.31 mse_v:1.99 psnr_avg:41.48 psnr_y:40.45 psnr_u:44.50 psnr_v:45.15 
n:168 mse_avg:4.52 mse_y:5.70 mse_u:2.29 mse_v:1.99 psnr_avg:41.58 psnr_y:40.57 psnr_u:44.52 psnr_v:45.15 
